uniform_number,player_name,position,bats,throws,ht,wt,yob
22,Giovanardi Alex,P/IF,R,R,0,0,2006
66,La Rocca Stefano,P,R,R,0,0,1983
2,Lettieri Leonardo,2B/SS,R,R,0,0,2005
80,Lugli Davide,P/C/IF,R,R,0,0,2006
91,MEDINA GARCIA Frank Luis,P,R,R,185,87,1987
24,Minari Alexandro,2B/3B/SS/OF,R,R,0,0,2000
6,Nardi Alessandro,UTL,R,R,0,0,2000
31,Sassi Lorenzo,P,R,R,0,0,1999
75,Tamburrini Giorgio,OF/UTL,L,R,0,0,1992
15,Trevisan Nicolas,P,R,R,0,0,2000
57,Zanichelli Davide,1B,R,R,0,0,1982
4,Angulo Gamez Oscar David,UTL,R,R,180,76,1984
50,Baez Aybar Fernando,UTL,R,R,0,0,1992
24,Batista De Jesus Nathanael Manoly,2B/LF/UTL,R,R,180,80,1995
31,Castillo Rojas Jesus Ronaldo,P/UTL,R,R,0,0,1995
25,Celli Federico,CF/UTL,R,R,188,100,1995
22,Da Silva Tiago Felipe,P/UTL,R,R,0,0,1985
54,Di Fabio Lorenzo,3B/UTL,R,R,0,0,1992
16,Di Raffaele Lorenzo,2B/UTL,R,R,0,0,1994
35,Di Raffaele Luca,P/UTL,R,R,183,0,1994
13,Epifano Duran Erick Alessandro,SS/UTL,R,R,188,88,1990
27,Ferrini Colmenarez Jose Leonardo,3B/UTL,R,R,180,0,1989
53,Garbella Nicola Luciano Sathya,P/RF/UTL,R,R,185,89,1992
77,Giulianelli Ettore,P/UTL,R,R,0,0,2003
64,HERNANDEZ SILVA Nelson Eduardo,P/UTL,R,R,188,77,1997
2,KOURTIS Dimitrios,P/UTL,R,R,190,104,1992
5,Leonora Ericson Neptali,LF/UTL,R,R,0,0,1992
21,LEONORA Dudley Lauriano Michael Junior,1B/UTL,R,R,187,94,1991
14,Lino Correa Gabriel Eloy,C/UTL,R,R,190,90,1993
71,Peluso Rodriguez Eduardo Andres,P/UTL,R,R,180,80,1998
6,Pieternella Vargas Ortwin Hose,C/UTL,R,R,0,0,1999
7,Pulzetti Luca,3B/SS/UTL,R,R,0,0,1994
70,Quevedo Viso Carlos Eduardo,P/UTL,R,R,0,0,1989
33,Rosales Motta Giovanny Andres,C/UTL,R,R,0,0,1999
20,Tognacci Gianluca,P/UTL,R,R,0,0,2000
1,Abate Brian,UTL,R,R,180,75,2002
20,Abreu Florimon Alcis Manuel,P/UTL,R,R,182,80,2002
55,Anzanel Nicola,C/UTL,R,R,175,82,2004
45,Baruffaldi Federico,P/UTL,L,L,184,90,2000
40,Bertoldi Davide,P/UTL,R,R,180,87,1994
