uniform_number,player_name,position,bats,throws,ht,wt,yob
0,Rodríguez Michel,UTL,R,R,185,78,1977
0,Rondón Edgar,UTL,R,R,0,0,1995
0,Sandrone Nicoló,UTL,R,R,0,0,1999
0,Torres Yosbany,UTL,R,R,192,86,1980
0,Vanheneguen José,UTL,R,R,182,70,1998
0,Yanez José,UTL,R,R,184,84,2004
0,Angustia Joan,CF,R,R,0,0,2005
0,Bádenas Lluis,UTL,R,R,176,71,2004
0,Baena Manel,P,R,R,0,0,1999
0,Bermúdez Samuel,UTL,R,R,167,68,2004
0,Domero William,UTL,R,R,0,0,1980
0,Freer Zachary,P,R,R,0,0,2005
0,Gainza Jeyson,3B,R,R,0,0,1991
0,García Carlos,2B,R,R,0,0,1994
0,Hernández Óscar,P,R,R,0,0,2000
0,Iriarte Ortega Lucas,CF,R,R,0,0,2005
0,López Elvinyer,UTL,R,R,0,0,2005
0,Luciano Bladimir,UTL,R,R,0,0,2001
0,Merán Ángel,UTL,R,R,0,0,1995
0,Moreno Jordi,P,R,R,0,0,2006
0,Nakaigawa Yu,P,R,R,0,0,2002
0,Núñez Cristopher,RF,R,R,0,0,1985
0,Oberthaler Andrew,CF,R,R,0,0,1986
0,Ramos Anthony,UTL,R,R,0,0,2001
0,Rivas Ángel,C,R,R,0,0,1994
0,Romance Hernandez Jonathan,LF,R,R,0,0,2005
0,Salcedo Alfonso,CF,R,R,0,0,1999
0,Torres Reiner,1B,L,L,0,0,1990
0,Uribe Wilker,P,R,R,175,60,2005
0,Vilaro Josep,P,R,R,0,0,2003
63,Acha Sergio,P,L,L,0,0,1975
52,Alvarado Carlos,C,R,R,0,0,2000
61,Auciello Kreisber,UTL,R,R,0,0,1995
0,Bilbao González Iker,UTL,R,R,0,0,1998
0,Caballero López Lander,UTL,R,R,0,0,1996
50,Caballero Yoel,OF,R,R,0,0,1996
55,Correa Leopoldo,3B/SS,L,L,0,0,1991
0,Crespo Bastidas Manuel Enrique,UTL,R,R,0,0,2007
0,Díaz Custodio Elvin Evanders,UTL,R,R,0,0,2002
0,Dominguez Diaz Ernan Jesus,UTL,R,R,0,0,2007
0,Gonzalez Alquegui Jonatan,UTL,R,R,0,0,1996
67,Gonzalez Cesar,P,R,R,0,0,1991
64,González Daniel,UTL,R,R,0,0,1996
68,Grance Moisés,OF,R,R,0,0,1991
60,Hernández Royd,P,R,R,0,0,1991
48,López Frederman,1B,L,L,0,0,1990
0,Lopez Llanos Aitor,UTL,R,R,0,0,1993
0,Lopez Serrano Johanser,UTL,R,R,,,2005
0,Madrigal Arce Mikel,UTL,R,R,,,2005
0,Mendizabal Pocero Markel,UTL,R,R,0,0,1991
0,Mendoza Cabrera Leonel David,P,R,R,,,1999
58,Moreno Daniel,UTL,R,R,0,0,1997
51,Mota Leonardo,P,R,R,0,0,1994
0,Mugica Perez Jon,UTL,R,R,0,0,1996
0,Mujica Suárez Ronaldo Antonio,UTL,R,R,0,0,2004
0,Palencia Acevedo Carlos Daniel,UTL,R,R,0,0,2006
62,Ramírez Giovanni,P,R,R,0,0,1997
53,Rivas Eduardo,IF,L,L,0,0,1983
0,RUBIO HERNANDEZ Aitor,UTL,R,R,,,1984
0,Ruiz Del Amo Endika,UTL,R,R,0,0,2007
0,San Andres Lopez Joseba,UTL,R,R,0,0,1985
0,San Andres Lopez Andoni,UTL,R,R,0,0,1985
57,Silva Elio,P,L,L,0,0,1995
