uniform_number,player_name,position,bats,throws,ht,wt,yob
8,GONESH Jayden,P,R,R,182,71,2002
51,GROEN Mike,P,R,R,192,90,1996
43,HOOGENDOORN Ryan,P,R,R,198,88,2005
10,HUNTINGTON Ryan,P,L,L,0,0,1996
20,JAMANIKA Sheadion,IF,R,R,183,90,1998
23,JANSSEN Dave,C,R,R,179,84,1999
66,KELKBOOM Makesiondon Juroney,IF,R,R,0,0,2000
33,KELLY Kevin,P,R,R,182,92,1990
12,KEMP Tyriq,IF,L,R,170,70,2002
24,KEMP Dwayne,IF,R,R,170,81,1988
30,KRUEGER Tony,C,L,R,0,0,2000
35,MARKWELL Diegomar,P,L,L,0,0,1980
7,MARTINA Junior,IF,R,R,0,0,1997
40,MARTINA Fregin,P,R,R,0,0,2004
39,MARTIS Shairon,P,R,R,185,95,1987
6,MOHAMED Jayden,IF,R,R,186,93,2004
45,MONTENEGRO ESPINOZA Mauricio,IF,R,R,168,60,2007
28,PIETERNELLA Keegan,C,S,R,167,66,2007
5,POLONIUS John,IF,R,R,185,75,1991
29,RIJKENHUIZEN Hugo,C,R,R,0,0,2003
19,ROJER Tygo,OF,R,R,0,0,2005
77,SEELBACH Den,IF,R,R,0,0,1999
2,SIENDERS Louie,C,R,R,0,0,1992
69,SLUIJTER Faas,IF,L,R,0,0,2003
17,SPROCK Jovendrick,OF,R,R,0,0,2004
64,TERPSTRA Joost,P,R,R,188,83,2001
26,TRINIDAD Gregory,IF,L,R,0,0,1991
0,VAN DEN BERG Kevin,P,R,R,0,0,1999
18,VAN DER MEER Stijn,IF,L,R,190,82,1993
38,YNTEMA Orlando,P,R,R,195,104,1986
66,ZWITSER Jurgen,P,R,R,0,0,2000
0,AFMAN Sem,C,R,R,0,0,2002
9,AUCOIN Eddie,P,R,R,0,0,1975
32,BELJAARDS Duncan,C,R,R,0,0,2004
0,BEUGELING Nolan,IF,R,R,0,0,2000
0,BURLESON Miles,OF,R,R,0,0,2006
10,DE VREEDE Bodhi,OF,R,R,0,0,1997
8,DUMITRESCU Michael,OF,L,L,0,0,2001
31,HEEMSKERK Terrance,IF,L,R,0,0,2005
0,HEGEMAN Peter,P,R,R,0,0,2002
44,HEILIGERS Daniel,OF,R,R,0,0,1999
17,HOOGKAMER Thom,OF,R,R,0,0,1999
0,HUIJER Swen,P,R,R,0,0,1990
16,KUIT Daan,P,R,R,0,0,2001
18,LAUF Sem,P,R,R,188,82,2001
28,LOOS Nick,P,R,R,0,0,2000
24,MEIJER Andreas,IF,R,R,0,0,2001
7,MEVISSEN Vincent,IF,R,R,0,0,2003
39,MOK Kylian,P,R,R,0,0,2003
33,NIJMAN Sem,P,L,L,0,0,2004
11,OUKES Kaien Robin,P,L,L,0,0,2004
0,ROMEIJN Yannick,IF,R,R,0,0,2004
27,SMIT Maarten,P,L,L,0,0,2005
12,STACIE Alden,P,R,R,0,0,2000
0,STOOVELAAR Bram,IF,R,R,0,0,1999
99,TERSTALL Daan,IF,R,R,0,0,2000
0,VAN ALEM Jesper,C,R,R,0,0,2005
0,VAN DEN BERGH Joost,IF,R,R,0,0,1999
22,VAN DEN OUWEELEN Just,P,R,R,193,83,2005
14,VAN ES Jesse,P,R,R,0,0,2002
49,VAN GORKUM Jack,IF,R,R,0,0,2004
0,VAN GORKUM Luca,P,L,R,186,85,2002
5,VONK Max,IF,R,R,0,0,2004
89,WILLEM Miquel,OF,L,L,177,70,2005
0,BAKKER Sven,P,R,R,0,0,2004
0,BARRIENTO Gustavo,OF,R,R,0,0,1987
84,BERKEL Kai,IF,R,R,0,0,1999
0,BERKEL Vito,IF,R,R,0,0,2006
0,BERNARDUS Jersey,OF,R,R,0,0,1985
13,BURGER Jordy,OF,L,L,0,0,1995
82,CRAMA Sander,P,R,R,0,0,2002
9,DAAL Rodney,C,R,R,183,92,1994
25,DE BOER Olivier,IF,R,R,0,0,2006
0,Feldkamp Guido,P,R,R,0,0,2006
99,GONESH Riley,P,R,R,0,0,1998
0,GRAY Charles,OF,L,L,0,0,1983
1,HANSEN Jurian,IF,R,R,0,0,1994
12,Henrietta Alex,IF,R,R,0,0,1998
19,HENRIETTA Lex,IF,R,R,0,0,1998
0,IRAUSQUIN Edvin,OF,R,R,0,0,2001
66,JAKOBUS Marvin,IF,R,R,0,0,2001
0,KAMPHORST Floris Jan,P,R,R,0,0,1999
14,KOEIMAN Elton,P,R,R,0,0,1973
0,KRAMER Abel,IF,R,R,0,0,2003
0,LOURENS Emeron,IF,S,S,0,0,1986
8,MARTIS Joel,P,R,R,0,0,1998
83,MULLER Luca,IF,R,R,0,0,2004
0,PALLAND Leroy,IF,R,R,0,0,1994
3,PONTE Joshbert,IF,S,S,0,0,1995
24,POPKEN Jasper,P,R,R,0,0,1997
7,REDAN Ibrahin,IF,R,R,0,0,1993
10,REDAN Irving,OF,L,L,0,0,1988
52,RIFAELA Jhan,P,L,L,0,0,1994
77,RIJPSTRA Bas,C,R,R,0,0,2006
0,SALAZAR Cesar,OF,R,R,0,0,2000
0,VAN DE HORIK Jay,P,R,R,0,0,2001
18,VAN LAAR Brian,P,L,L,0,0,1998
22,VAN LEERSUM Deef,P,R,R,0,0,2000
95,VAN ZWIETEN Amar,OF,R,R,0,0,2002
4,VISSER Lars,C,R,R,0,0,2003
15,WAGNER Jack,P,R,R,0,0,2002
29,WILLIAMS Darryl,OF,R,R,177,0,1993
6,ZEGWAARD Pascal,OF,R,R,0,0,1994
7,AGUILERA ZAYAS Paris,OF,R,R,0,0,2004
97,ANDRINGA Calvin,P,L,L,0,0,1998
0,ANDRINGA Nick,P,R,R,0,0,2003
15,AUSSEMS Jesse,IF,L,R,0,0,1992
23,BLIJLEVEN Mart,OF,L,L,188,90,2003
0,BOS Ewout,P,R,R,0,0,1987
0,BOUTERSE Ruben,IF,R,R,0,0,1982
66,BRAY Rutger,P,L,L,0,0,2003
8,BROOKS Denzel,IF,R,R,0,0,1997
0,DRAIJER Dave,P,R,R,0,0,1973
0,DRAIJER Remco,OF,L,L,0,0,1987
12,DUNLOP Tijani,OF,R,R,0,0,1999
44,GEERTS Jan-Willem,P,R,R,0,0,1987
32,GIJSBERTHA Jaison,C,R,R,0,0,1994
13,GONZALEZ GARAY Luis,C,R,R,0,0,1997
26,GROENEWOUD Daan,IF,R,R,0,0,1994
69,GUZMAN Aldrich,IF,R,R,0,0,1993
14,JACOBS Raul,IF,R,R,0,0,1997
6,KOEIMAN Chris,P,R,R,174,82,1999
20,KWAKERNAAK Thomas,IF,R,R,0,0,2001
16,LEGITO Raydley,IF,R,R,170,69,2003
40,MARLIN Anthony,P,R,R,0,0,2001
29,MARTINA T'sean,P,R,R,0,0,1998
0,MOWDAY Chris,P,R,R,0,0,1988
41,ORMAN Jeldwin,OF,R,R,0,0,1991
99,PITERNELLA Ruendrick,OF,R,R,188,120,2001
0,SULBARAN Juancarlos,P,R,R,188,96,1989
0,VALPOORT Reggie,IF,R,R,0,0,1986
0,VAN DE BERG Jeremi,P,R,R,0,0,1986
35,VAN DEN BERG Mike,P,R,R,0,0,1997
2,VAN DER HORST Sebastiaan,IF,R,R,187,78,2003
18,VAN DER MEER Teun,IF,L,R,0,0,1997
28,VAN DER SCHOUW Lucca,P,L,L,0,0,2000
0,VAN STEKELENBURG Ferd,OF,L,L,0,0,1988
31,VERHOEF Geoffrey,C,R,R,0,0,1996
17,VERROEN Johannes,P,R,R,0,0,1997
10,VORK Moreno,P,R,R,0,0,1996
22,WERKMAN Koen,OF,R,R,0,0,1992
5,YOUNG Jeremy,P,R,R,0,0,1996
21,ZARA Joshua,UTL,R,R,0,0,1990
0,AERTS Boris,C,R,R,0,0,2000
0,BEER Kyan,IF,R,R,0,0,2006
16,BENTURA Railison,IF,R,R,0,0,2000
0,BINETTI Giovanni,IF,R,R,0,0,1996
0,BRODSJO Tye,C,R,R,0,0,2006
13,BUN Luuk,IF,R,R,0,0,2002
14,Čapka Filip,P,R,R,186,92,1998
49,COCU Raf,P,R,R,193,104,1999
0,COX Tobias,P,R,R,0,0,2004
0,DEN DUIJN Lucas,P,R,R,0,0,2004
31,FUKUDA Takuya,P,L,L,0,0,1996
26,Garcia Terrence,P,L,L,0,0,1994
0,GONZALEZ Vicente,OF,R,R,0,0,1997
6,Groß Simon,P,R,R,180,70,2001
5,Joossens Matthew,OF,L,R,0,0,1998
18,KOPS Max,OF,L,L,186,89,2001
0,KOPS Bo,OF,R,R,0,0,2004
40,LEVENSTONE Jeffrey,P,R,R,0,0,2001
25,MARTIE Yurdion Franklin,C,R,R,0,0,1999
2,PETERS Thijmen,IF,R,R,0,0,2001
9,Poesmans Axel,C,R,R,0,0,1996
